model,config,run_id,run_name,metric,n,mean,std,min,max,last
Student S,S4,5zkf0n7i,bevfusion_student_xxs_kd_feature_bev_head_dwa_V2,weighted_loss_kd_rel,1848,1.6359197441717506,0.04943577779035757,1.5462030935287476,2.5649961185455323,1.5908851647377014
Student S,S4,5zkf0n7i,bevfusion_student_xxs_kd_feature_bev_head_dwa_V2,weighted_loss_kd_logit,1848,0.3031361215437452,0.038738731625018966,0.25339423343539236,1.1104188323020936,0.2645285016298294
Student XS,S1,2f6bs75l,student_v2_kd_xxs_feature_lidar_cam,loss,1848,2.6787341832417946,0.17247458276823557,2.374610729217529,4.818556203842163,2.486876721382141
Student XS,S1,2f6bs75l,student_v2_kd_xxs_feature_lidar_cam,grad_norm,1810,6.552092599008623,0.8792590498737965,4.585640602111816,12.164602727890015,4.745145735740661
Student XS,S1,2f6bs75l,student_v2_kd_xxs_feature_lidar_cam,loss_heatmap,1848,0.7814790410571026,0.05156537415413141,0.6832280135154725,1.333654968738556,0.7180242800712585
Student XS,S1,2f6bs75l,student_v2_kd_xxs_feature_lidar_cam,layer_-1_loss_cls,1848,0.1233618267309485,0.008041454465634125,0.10884642943739892,0.19101745769381523,0.11409757927060127
Student XS,S1,2f6bs75l,student_v2_kd_xxs_feature_lidar_cam,layer_-1_loss_bbox,1848,1.1816654499881454,0.10427532738973755,0.9752491188049316,2.4920977973937988,1.0761243093013764
Student XS,S1,2f6bs75l,student_v2_kd_xxs_feature_lidar_cam,loss_kd_feature_camera,1848,0.46596692454666544,0.016598876484238533,0.4497609549760819,0.6758308982849122,0.4534315550327301
Student XS,S1,2f6bs75l,student_v2_kd_xxs_feature_lidar_cam,loss_kd_feature_lidar,1848,0.12626094047592962,0.0006872620288027187,0.12419265016913414,0.1284605722129345,0.12519898489117623
Student XS,S2,8utrbfn6,student_v2_kd_xxs_feature_lidar_cam_bev,loss,1848,2.8772873552769296,0.17322768904876334,2.6188591432571413,4.99084370136261,2.6562648725509646
Student XS,S2,8utrbfn6,student_v2_kd_xxs_feature_lidar_cam_bev,grad_norm,1812,6.433134865663436,0.8419856106848389,4.710265245437622,11.777394714355468,5.678402342796326
Student XS,S2,8utrbfn6,student_v2_kd_xxs_feature_lidar_cam_bev,loss_heatmap,1848,0.7823597863348789,0.05353765446806378,0.6909057962894439,1.3668441832065583,0.739700917005539
Student XS,S2,8utrbfn6,student_v2_kd_xxs_feature_lidar_cam_bev,layer_-1_loss_cls,1848,0.12341282317749512,0.00814830864597303,0.1086187069118023,0.19978014945983888,0.11672623038291931
Student XS,S2,8utrbfn6,student_v2_kd_xxs_feature_lidar_cam_bev,layer_-1_loss_bbox,1848,1.1812989321557474,0.10477901519842936,0.9878957486152649,2.480760498046875,1.022082530260086
Student XS,S2,8utrbfn6,student_v2_kd_xxs_feature_lidar_cam_bev,loss_kd_feature_camera,1848,0.5230056575085823,0.014066235470365007,0.5092508918046952,0.6748470032215118,0.511852040886879
Student XS,S2,8utrbfn6,student_v2_kd_xxs_feature_lidar_cam_bev,loss_kd_feature_lidar,1848,0.1359813709040999,0.0006796208713962976,0.13374735325574874,0.13821654230356217,0.1348962503671646
Student XS,S2,8utrbfn6,student_v2_kd_xxs_feature_lidar_cam_bev,loss_kd_feature_bev,1848,0.1312287852456753,0.00014228918432572206,0.1307414722442627,0.13246900856494903,0.13100692093372346
Student XS,S2,8utrbfn6,student_v2_kd_xxs_feature_lidar_cam_bev,loss_kd_feature_bev,1848,0.1312287852456753,0.00014228918432572206,0.1307414722442627,0.13246900856494903,0.13100692093372346
Student XS,S3,xprs9b5n,student_v2_kd_xxs_feature_lidar_cam_bev_head_rel,loss,1848,4.876048576078373,0.31770903346760654,4.473623251914978,8.898713483810425,4.604227561950683
Student XS,S3,xprs9b5n,student_v2_kd_xxs_feature_lidar_cam_bev_head_rel,grad_norm,1811,9.062362884129692,1.7173425051703695,5.860341291427613,15.91849181175232,10.584347639083862
Student XS,S3,xprs9b5n,student_v2_kd_xxs_feature_lidar_cam_bev_head_rel,loss_heatmap,1848,0.7935054264998153,0.06337652320354124,0.6953316307067872,1.3470988166332245,0.7451765781641007
Student XS,S3,xprs9b5n,student_v2_kd_xxs_feature_lidar_cam_bev_head_rel,layer_-1_loss_cls,1848,0.1366333134906181,0.00938699198443089,0.11836668372154235,0.1947576320171356,0.12715684175491332
Student XS,S3,xprs9b5n,student_v2_kd_xxs_feature_lidar_cam_bev_head_rel,layer_-1_loss_bbox,1848,1.187988541191726,0.1264853741966187,0.9837445914745331,2.4263664054870606,1.1048082327842712
Student XS,S3,xprs9b5n,student_v2_kd_xxs_feature_lidar_cam_bev_head_rel,loss_kd_feature_camera,1848,0.49501027230995814,0.023558072332899655,0.4734241372346878,0.6752623999118805,0.47612621426582336
Student XS,S3,xprs9b5n,student_v2_kd_xxs_feature_lidar_cam_bev_head_rel,loss_kd_feature_lidar,1848,0.1281816433309638,0.0006862658996968596,0.12610652625560761,0.13056613206863404,0.1276547135412693
Student XS,S3,xprs9b5n,student_v2_kd_xxs_feature_lidar_cam_bev_head_rel,loss_kd_feature_bev,1848,0.13223212150945549,0.00038759605249466035,0.13175458312034607,0.1340830636024475,0.1320181146264076
Student XS,S3,xprs9b5n,student_v2_kd_xxs_feature_lidar_cam_bev_head_rel,loss_kd_feature_bev,1848,0.13223212150945549,0.00038759605249466035,0.13175458312034607,0.1340830636024475,0.1320181146264076
Student XS,S3,xprs9b5n,student_v2_kd_xxs_feature_lidar_cam_bev_head_rel,loss_kd_rel,1848,1.4091094627589376,0.06327409992714979,1.3429879355430603,2.545900650024414,1.3596242094039916
Student XS,S3,xprs9b5n,student_v2_kd_xxs_feature_lidar_cam_bev_head_rel,loss_kd_logit,1848,0.5933877940827506,0.060117709570760444,0.49697359144687653,1.4470822978019715,0.5316626751422882
Student XS,S4,6u81evo4,student_v2_kd_xxs_feature_lidar_cam_bev_head_rel_dwa,loss,1848,4.8883575996227595,0.30255202331252856,4.470515933036804,8.853779993057252,4.807877125740052
Student XS,S4,6u81evo4,student_v2_kd_xxs_feature_lidar_cam_bev_head_rel_dwa,grad_norm,1810,9.018361573640814,1.664207200080562,5.4024101257324215,17.723324332237244,9.915071325302124
Student XS,S4,6u81evo4,student_v2_kd_xxs_feature_lidar_cam_bev_head_rel_dwa,loss_heatmap,1848,0.7936997340013197,0.06270236836121351,0.6810551238059998,1.3454742681980134,0.7720476967096329
Student XS,S4,6u81evo4,student_v2_kd_xxs_feature_lidar_cam_bev_head_rel_dwa,layer_-1_loss_cls,1848,0.13631215095016055,0.009331747354821654,0.1161570619046688,0.197324176132679,0.12678531423211098
Student XS,S4,6u81evo4,student_v2_kd_xxs_feature_lidar_cam_bev_head_rel_dwa,layer_-1_loss_bbox,1848,1.1875376601543004,0.12278008597270307,0.9999562054872513,2.3156249356269836,1.1433850359916686
Student XS,S4,6u81evo4,student_v2_kd_xxs_feature_lidar_cam_bev_head_rel_dwa,loss_kd_feature_camera,1848,0.49045495973198444,0.011569368568293803,0.4796115309000015,0.683345057964325,0.4874769735336304
Student XS,S4,6u81evo4,student_v2_kd_xxs_feature_lidar_cam_bev_head_rel_dwa,loss_kd_feature_lidar,1848,0.1203355319685105,0.0006849734631871059,0.11804269909858704,0.12300935178995133,0.1212012992799282
Student XS,S4,6u81evo4,student_v2_kd_xxs_feature_lidar_cam_bev_head_rel_dwa,loss_kd_feature_bev,1848,0.1336833464623594,0.00036912985374296076,0.13256263092160225,0.13570503503084183,0.1339652170240879
Student XS,S4,6u81evo4,student_v2_kd_xxs_feature_lidar_cam_bev_head_rel_dwa,loss_kd_feature_bev,1848,0.1336833464623594,0.00036912985374296076,0.13256263092160225,0.13570503503084183,0.1339652170240879
Student XS,S4,6u81evo4,student_v2_kd_xxs_feature_lidar_cam_bev_head_rel_dwa,loss_kd_rel,1848,1.4103489758125891,0.06364920772740963,1.3351045417785645,2.560490674972534,1.430239748954773
Student XS,S4,6u81evo4,student_v2_kd_xxs_feature_lidar_cam_bev_head_rel_dwa,loss_kd_logit,1848,0.6159852406835724,0.06124393725841042,0.5163332945108414,1.4958224940299987,0.5927758252620697
Student XS,S4,6u81evo4,student_v2_kd_xxs_feature_lidar_cam_bev_head_rel_dwa,weight_lidar,1848,0.9934018581331551,0.05163978268263534,0.7090663313865662,1.1202096939086914,1.0127257108688354
Student XS,S4,6u81evo4,student_v2_kd_xxs_feature_lidar_cam_bev_head_rel_dwa,weight_camera,1848,0.9923381375802027,0.03658454663049206,0.7896820306777954,1.0757969617843628,1.0181198120117188
Student XS,S4,6u81evo4,student_v2_kd_xxs_feature_lidar_cam_bev_head_rel_dwa,weight_bev,1848,0.9922541491848565,0.04315315438429138,0.7686245441436768,1.0917493104934692,0.9986943006515503
Student XS,S4,6u81evo4,student_v2_kd_xxs_feature_lidar_cam_bev_head_rel_dwa,weight_relation,1848,0.9968893408646315,0.05008886079078516,0.7863339781761169,1.2593739032745361,0.9423958659172058
Student XS,S4,6u81evo4,student_v2_kd_xxs_feature_lidar_cam_bev_head_rel_dwa,weight_logit,1848,1.025116504270793,0.1331693820010808,0.7820847630500793,1.940469741821289,1.028064250946045
